date,product_name,category,brand,quantity_sold,price_per_quantity,total_price
2024-03-11,MTRVegMasala,VegMasala,MTR,77,38.55,2968.35
2024-03-03,AshirvadFlour,Flour,Ashirvad,76,47.6,3617.6
2024-03-03,ParrysSugar,Sugar,Parrys,29,59.82,1734.78
2024-03-18,HoneyBaeSugar,Sugar,HoneyBae,76,95.42,7251.92
2024-03-20,SaffolaOil,Oil,Saffola,85,81.66,6941.099999999999
2024-03-11,OhmsKetchup,Ketchup,Ohms,16,84.67,1354.72
2024-03-14,AmulChocolate,Chocolate,Amul,59,83.5,4926.5
2024-03-27,BrazilNutsAlmonds,Almonds,BrazilNuts,69,82.3,5678.7
2024-03-14,PopiePopcornMix,PopcornMix,Popie,79,99.97,7897.63
2024-03-01,AmulChocolate,Chocolate,Amul,4,39.55,158.2
2024-03-28,DoveShampoo,Shampoo,Dove,56,14.5,812.0
2024-03-16,DailyCrunchAlmonds,Almonds,DailyCrunch,5,26.29,131.45
2024-03-17,ParrysSugar,Sugar,Parrys,14,65.68,919.5200000000001
2024-03-09,PatanjaliFlour,Flour,Patanjali,50,71.79,3589.5000000000005
2024-03-03,DailyCrunchAlmonds,Almonds,DailyCrunch,55,36.92,2030.6000000000001
2024-03-18,PopiePopcornMix,PopcornMix,Popie,100,36.22,3622.0
2024-03-12,PatanjaliRice,Rice,Patanjali,6,56.56,339.36
2024-03-28,BambinoPasta,Pasta,Bambino,56,63.26,3542.56
2024-03-12,ContinentalCoffee,Coffee,Continental,72,37.79,2720.88
2024-03-13,HeinzKetchup,Ketchup,Heinz,32,88.97,2847.04
2024-03-02,FortuneOil,Oil,Fortune,70,44.99,3149.3
2024-03-29,EverestChickenMasala,ChickenMasala,Everest,8,46.03,368.24
2024-03-21,TideDetergent,Detergent,Tide,13,53.86,700.18
2024-03-19,KimiaDates,Dates,Kimia,34,18.92,643.2800000000001
2024-03-08,MindfulAlmonds,Almonds,Mindful,92,45.11,4150.12
2024-03-17,LittleHeartsBiscuit,Biscuit,LittleHearts,79,94.39,7456.81
2024-03-06,PatanjaliSalt,Salt,Patanjali,23,78.1,1796.3
2024-03-27,HoneyBaeSugar,Sugar,HoneyBae,36,42.5,1530.0
2024-03-21,HamamSanitizer,Sanitizer,Hamam,93,39.13,3639.09
2024-03-15,HamamSanitizer,Sanitizer,Hamam,86,54.8,4712.8
2024-03-04,OhmsKetchup,Ketchup,Ohms,73,79.14,5777.22
2024-03-27,KissanKetchup,Ketchup,Kissan,45,52.75,2373.75
2024-03-20,FarmelyWalnuts,Walnuts,Farmely,71,15.05,1068.55
2024-03-24,PopcornMix,PopcornMix,,97,10.67,1034.99
2024-03-21,EasternChickenMasala,ChickenMasala,Eastern,16,30.99,495.84
2024-03-31,LifeBuoySanitizer,Sanitizer,LifeBuoy,92,54.26,4991.92
2024-03-03,MaggieNoodles,Noodles,Maggie,76,65.38,4968.879999999999
2024-03-19,HeinzKetchup,Ketchup,Heinz,65,20.99,1364.35
2024-03-18,KhidriDates,Dates,Khidri,55,81.99,4509.45
2024-03-07,NutrichoiceBiscuit,Biscuit,Nutrichoice,82,74.02,6069.639999999999
2024-03-14,HeinzKetchup,Ketchup,Heinz,63,10.65,670.95
2024-03-03,KissanKetchup,Ketchup,Kissan,82,35.06,2874.92
2024-03-29,OreoBiscuit,Biscuit,Oreo,58,86.97,5044.26
2024-03-03,HersheyChocolate,Chocolate,Hershey,58,58.95,3419.1000000000004
2024-03-23,FarmelyWalnuts,Walnuts,Farmely,49,15.63,765.87
2024-03-20,DettolSanitizer,Sanitizer,Dettol,25,86.64,2166.0
2024-03-01,HamamSanitizer,Sanitizer,Hamam,55,78.88,4338.4
2024-03-07,PopcornMix,PopcornMix,,70,83.87,5870.900000000001
2024-03-25,FelineFeastCatFood,CatFood,FelineFeast,10,96.64,966.4
2024-03-20,ActIIPopcornMix,PopcornMix,ActII,1,58.27,58.27
2024-03-27,NutrigrainFlour,Flour,Nutrigrain,49,45.93,2250.57
2024-03-07,DoveShampoo,Shampoo,Dove,8,36.75,294.0
2024-03-25,DailyCrunchAlmonds,Almonds,DailyCrunch,99,20.98,2077.02
2024-03-08,MindfulAlmonds,Almonds,Mindful,61,19.33,1179.1299999999999
2024-03-09,PopiePopcornMix,PopcornMix,Popie,56,89.46,5009.759999999999
2024-03-27,RamenNoodles,Noodles,Ramen,46,20.56,945.76
2024-03-03,FelineFeastCatFood,CatFood,FelineFeast,88,31.15,2741.2
2024-03-08,KissanKetchup,Ketchup,Kissan,97,43.05,4175.849999999999
2024-03-09,MTRVegMasala,VegMasala,MTR,92,55.77,5130.84
2024-03-21,RamenNoodles,Noodles,Ramen,80,95.9,7672.0
2024-03-30,MdhChickenMasala,ChickenMasala,Mdh,16,57.72,923.52
2024-03-06,KnorrNoodles,Noodles,Knorr,17,59.98,1019.66
2024-03-08,LittleHeartsBiscuit,Biscuit,LittleHearts,91,35.79,3256.89
2024-03-02,MindfulAlmonds,Almonds,Mindful,91,36.27,3300.57
2024-03-23,MdhChickenMasala,ChickenMasala,Mdh,82,79.02,6479.639999999999
2024-03-10,RinDetergent,Detergent,Rin,96,62.72,6021.12
2024-03-18,KnorrNoodles,Noodles,Knorr,3,43.14,129.42000000000002
2024-03-05,DailyCrunchAlmonds,Almonds,DailyCrunch,99,68.9,6821.1
2024-03-31,ContinentalCoffee,Coffee,Continental,14,35.69,499.65999999999997
2024-03-15,OatsBreakfast,Breakfast,Oats,85,68.91,5857.349999999999
2024-03-12,FarmelyWalnuts,Walnuts,Farmely,36,89.64,3227.04
2024-03-10,MTRVegMasala,VegMasala,MTR,43,28.48,1224.64
2024-03-12,TataSalt,Salt,Tata,3,96.75,290.25
2024-03-19,MadhurSugar,Sugar,Madhur,90,27.07,2436.3
2024-03-25,VedakaPasta,Pasta,Vedaka,98,19.3,1891.4
2024-03-02,MaggieNoodles,Noodles,Maggie,33,62.75,2070.75
2024-03-19,Head&ShouldersShampoo,Shampoo,Head&Shoulders,29,89.0,2581.0
2024-03-08,PatanjaliSalt,Salt,Patanjali,72,42.96,3093.12
2024-03-20,BrazilNutsAlmonds,Almonds,BrazilNuts,92,84.47,7771.24
2024-03-26,AachiVegMasala,VegMasala,Aachi,78,18.48,1441.44
2024-03-25,OatsBreakfast,Breakfast,Oats,40,67.42,2696.8
2024-03-14,DoveShampoo,Shampoo,Dove,24,14.92,358.08
2024-03-25,KimiaDates,Dates,Kimia,9,43.65,392.84999999999997
2024-03-31,HeinzKetchup,Ketchup,Heinz,85,40.75,3463.75
2024-03-27,BambinoPasta,Pasta,Bambino,42,10.08,423.36
2024-03-25,MaggieNoodles,Noodles,Maggie,50,60.93,3046.5
2024-03-28,PatanjaliFlour,Flour,Patanjali,90,26.81,2412.9
2024-03-28,AashirvadSalt,Salt,Aashirvad,24,21.28,510.72
2024-03-28,EverestChickenMasala,ChickenMasala,Everest,62,86.76,5379.12
2024-03-13,PurinaPawCatFood,CatFood,PurinaPaw,26,12.63,328.38
2024-03-18,FelineFeastCatFood,CatFood,FelineFeast,4,77.87,311.48
2024-03-08,SurfExcelDetergent,Detergent,SurfExcel,86,60.48,5201.28
2024-03-14,NutrigrainFlour,Flour,Nutrigrain,54,66.17,3573.1800000000003
2024-03-12,DelMontePasta,Pasta,DelMonte,90,49.72,4474.8
2024-03-18,AachiVegMasala,VegMasala,Aachi,59,82.53,4869.27
2024-03-17,WhikasCatFood,CatFood,Whikas,59,14.41,850.19
2024-03-17,KissanKetchup,Ketchup,Kissan,84,50.28,4223.52
2024-03-31,CadburyChocolate,Chocolate,Cadbury,64,42.14,2696.96
2024-03-04,SurfExcelDetergent,Detergent,SurfExcel,49,45.19,2214.31
2024-03-08,FortuneOil,Oil,Fortune,83,67.63,5613.29
2024-03-27,HersheyChocolate,Chocolate,Hershey,34,96.38,3276.92
2024-03-08,AshirvadFlour,Flour,Ashirvad,30,30.22,906.5999999999999
2024-03-15,HamamSanitizer,Sanitizer,Hamam,45,34.81,1566.45
2024-03-22,AashirvadSalt,Salt,Aashirvad,20,24.15,483.0
2024-03-05,AachiVegMasala,VegMasala,Aachi,20,69.82,1396.3999999999999
2024-03-26,RinDetergent,Detergent,Rin,78,18.48,1441.44
2024-03-22,BambinoPasta,Pasta,Bambino,62,49.47,3067.14
2024-03-24,FarmelyWalnuts,Walnuts,Farmely,83,20.57,1707.31
2024-03-27,LagomWalnuts,Walnuts,Lagom,51,97.97,4996.47
2024-03-02,SunflowerOil,Oil,Sunflower,20,15.7,314.0
2024-03-12,AashirvadSalt,Salt,Aashirvad,57,74.8,4263.599999999999
2024-03-22,BambinoPasta,Pasta,Bambino,74,30.56,2261.44
2024-03-31,ChocosBreakfast,Breakfast,Chocos,44,60.38,2656.7200000000003
2024-03-14,TideDetergent,Detergent,Tide,29,98.99,2870.71
2024-03-04,OreoBiscuit,Biscuit,Oreo,5,77.64,388.2
2024-03-20,FelineFeastCatFood,CatFood,FelineFeast,2,87.55,175.1
2024-03-26,EasternChickenMasala,ChickenMasala,Eastern,77,58.96,4539.92
2024-03-03,3RosesTea,Tea,3Roses,42,18.75,787.5
2024-03-12,RamenNoodles,Noodles,Ramen,12,84.81,1017.72
2024-03-16,AjwaDates,Dates,Ajwa,25,97.28,2432.0
2024-03-21,CadburyChocolate,Chocolate,Cadbury,37,82.37,3047.69
2024-03-28,Head&ShouldersShampoo,Shampoo,Head&Shoulders,26,43.5,1131.0
2024-03-17,EasternChickenMasala,ChickenMasala,Eastern,3,63.28,189.84
2024-03-21,KhidriDates,Dates,Khidri,56,69.07,3867.9199999999996
2024-03-16,DailyCrunchAlmonds,Almonds,DailyCrunch,56,79.41,4446.96
2024-03-31,AachiVegMasala,VegMasala,Aachi,28,48.92,1369.76
2024-03-16,LiptonTea,Tea,Lipton,69,71.36,4923.84
2024-03-27,MdhChickenMasala,ChickenMasala,Mdh,23,11.74,270.02
2024-03-02,EasternChickenMasala,ChickenMasala,Eastern,47,13.38,628.86
2024-03-19,FortuneOil,Oil,Fortune,54,29.44,1589.76
2024-03-15,EverestChickenMasala,ChickenMasala,Everest,7,87.39,611.73
2024-03-13,BrazilNutsAlmonds,Almonds,BrazilNuts,95,74.69,7095.55
2024-03-30,PatanjaliRice,Rice,Patanjali,8,31.41,251.28
2024-03-05,ActIIPopcornMix,PopcornMix,ActII,35,15.77,551.9499999999999
2024-03-31,FortuneOil,Oil,Fortune,80,20.67,1653.6000000000001
2024-03-09,MaggieNoodles,Noodles,Maggie,33,94.98,3134.34
2024-03-17,DoveShampoo,Shampoo,Dove,26,96.84,2517.84
2024-03-26,EasternChickenMasala,ChickenMasala,Eastern,74,13.03,964.2199999999999
2024-03-08,LifeBuoySanitizer,Sanitizer,LifeBuoy,74,48.09,3558.6600000000003
2024-03-24,OatsBreakfast,Breakfast,Oats,28,92.25,2583.0
2024-03-13,AjwaDates,Dates,Ajwa,97,21.25,2061.25
2024-03-06,AjwaDates,Dates,Ajwa,73,22.26,1624.98
2024-03-27,FelineFeastCatFood,CatFood,FelineFeast,2,70.2,140.4
2024-03-08,FortuneOil,Oil,Fortune,94,75.43,7090.420000000001
2024-03-09,PopcornMix,PopcornMix,,52,87.17,4532.84
2024-03-25,BambinoPasta,Pasta,Bambino,74,99.92,7394.08
2024-03-22,HamamSanitizer,Sanitizer,Hamam,80,49.45,3956.0
2024-03-28,PatanjaliRice,Rice,Patanjali,75,13.3,997.5
2024-03-24,DoveShampoo,Shampoo,Dove,16,19.21,307.36
2024-03-19,MTRVegMasala,VegMasala,MTR,14,29.29,410.06
2024-03-30,ActIIPopcornMix,PopcornMix,ActII,9,51.33,461.96999999999997
2024-03-16,RinDetergent,Detergent,Rin,33,86.27,2846.91
2024-03-10,LittleHeartsBiscuit,Biscuit,LittleHearts,34,40.42,1374.28
2024-03-10,RamenNoodles,Noodles,Ramen,83,72.67,6031.610000000001
2024-03-11,HoneyBaeSugar,Sugar,HoneyBae,55,78.75,4331.25
2024-03-04,RinDetergent,Detergent,Rin,3,22.04,66.12
2024-03-29,ContinentalCoffee,Coffee,Continental,19,53.21,1010.99
2024-03-08,KimiaDates,Dates,Kimia,47,26.24,1233.28
2024-03-17,BasmatiRice,Rice,Basmati,57,28.36,1616.52
2024-03-06,AjwaDates,Dates,Ajwa,86,64.85,5577.099999999999
2024-03-12,CadburyChocolate,Chocolate,Cadbury,82,89.6,7347.2
2024-03-15,KhidriDates,Dates,Khidri,97,79.25,7687.25
2024-03-21,LiptonTea,Tea,Lipton,66,11.63,767.58
2024-03-18,PatanjaliSalt,Salt,Patanjali,27,14.64,395.28000000000003
2024-03-14,AshirvadFlour,Flour,Ashirvad,81,18.37,1487.97
2024-03-16,MdhChickenMasala,ChickenMasala,Mdh,11,64.08,704.88
2024-03-19,SakthiVegMasala,VegMasala,Sakthi,21,76.28,1601.88
2024-03-16,FarmelyWalnuts,Walnuts,Farmely,38,53.56,2035.2800000000002
2024-03-05,NutrichoiceBiscuit,Biscuit,Nutrichoice,38,86.54,3288.5200000000004
2024-03-06,HoneyBaeSugar,Sugar,HoneyBae,15,33.83,507.45
2024-03-06,CranberryWalnuts,Walnuts,Cranberry,34,86.33,2935.22
2024-03-18,KimiaDates,Dates,Kimia,91,86.92,7909.72
2024-03-01,HoneyBaeSugar,Sugar,HoneyBae,25,61.18,1529.5
2024-03-29,ChocosBreakfast,Breakfast,Chocos,57,80.59,4593.63
2024-03-08,RamenNoodles,Noodles,Ramen,73,77.26,5639.9800000000005
2024-03-27,VedakaPasta,Pasta,Vedaka,30,77.59,2327.7000000000003
2024-03-27,CadburyChocolate,Chocolate,Cadbury,63,35.97,2266.11
2024-03-04,WhikasCatFood,CatFood,Whikas,19,22.37,425.03000000000003
2024-03-14,AachiVegMasala,VegMasala,Aachi,1,15.0,15.0
2024-03-15,DoveShampoo,Shampoo,Dove,72,90.78,6536.16
2024-03-23,BrazilNutsAlmonds,Almonds,BrazilNuts,14,86.16,1206.24
2024-03-19,HamamSanitizer,Sanitizer,Hamam,55,80.08,4404.4
2024-03-26,HoneyBaeSugar,Sugar,HoneyBae,90,93.29,8396.1
2024-03-18,DoveShampoo,Shampoo,Dove,92,25.7,2364.4
2024-03-12,PopiePopcornMix,PopcornMix,Popie,67,67.94,4551.98
2024-03-01,KissanKetchup,Ketchup,Kissan,70,14.04,982.8
2024-03-10,PopiePopcornMix,PopcornMix,Popie,2,22.3,44.6
2024-03-15,SurfExcelDetergent,Detergent,SurfExcel,41,66.32,2719.12
2024-03-22,ContinentalCoffee,Coffee,Continental,46,60.6,2787.6
2024-03-11,IndiaGateRice,Rice,IndiaGate,36,50.12,1804.32
2024-03-30,MTRVegMasala,VegMasala,MTR,53,97.15,5148.950000000001
2024-03-30,MaggieNoodles,Noodles,Maggie,27,98.61,2662.47
2024-03-23,BasmatiRice,Rice,Basmati,59,24.04,1418.36
2024-03-26,BrazilNutsAlmonds,Almonds,BrazilNuts,93,25.04,2328.72
2024-03-27,TajMahalTea,Tea,TajMahal,84,37.54,3153.36
2024-03-03,KhidriDates,Dates,Khidri,19,53.69,1020.1099999999999
2024-03-09,EverestChickenMasala,ChickenMasala,Everest,54,31.48,1699.92
2024-03-24,MTRVegMasala,VegMasala,MTR,2,45.53,91.06
2024-03-12,SakthiVegMasala,VegMasala,Sakthi,51,34.61,1765.11
2024-03-23,SunsilkShampoo,Shampoo,Sunsilk,41,34.52,1415.3200000000002
2024-03-04,LittleHeartsBiscuit,Biscuit,LittleHearts,1,83.01,83.01
2024-03-29,DailyCrunchAlmonds,Almonds,DailyCrunch,72,80.06,5764.32
2024-03-25,TataSalt,Salt,Tata,11,19.05,209.55
2024-03-31,MadhurSugar,Sugar,Madhur,11,99.14,1090.54
2024-03-21,HoneyBaeSugar,Sugar,HoneyBae,41,41.77,1712.5700000000002
2024-03-20,SunflowerOil,Oil,Sunflower,38,28.94,1099.72
2024-03-22,SaffolaOil,Oil,Saffola,26,85.8,2230.7999999999997
2024-03-19,IndiaGateRice,Rice,IndiaGate,59,62.53,3689.27
2024-03-08,3RosesTea,Tea,3Roses,81,44.78,3627.1800000000003
2024-03-21,TataSalt,Salt,Tata,23,65.13,1497.9899999999998
2024-03-14,MadhurSugar,Sugar,Madhur,26,97.7,2540.2000000000003
2024-03-04,HoneyBaeSugar,Sugar,HoneyBae,6,40.73,244.38
2024-03-13,MdhChickenMasala,ChickenMasala,Mdh,16,45.36,725.76
2024-03-21,PatanjaliSalt,Salt,Patanjali,45,17.81,801.4499999999999
2024-03-24,KnorrNoodles,Noodles,Knorr,42,18.09,759.78
2024-03-11,IndiaGateRice,Rice,IndiaGate,82,36.9,3025.7999999999997
2024-03-08,WhikasCatFood,CatFood,Whikas,78,67.86,5293.08
2024-03-01,OreoBiscuit,Biscuit,Oreo,7,16.13,112.91
2024-03-27,LagomWalnuts,Walnuts,Lagom,68,27.76,1887.68
2024-03-15,FarmelyWalnuts,Walnuts,Farmely,46,82.7,3804.2000000000003
2024-03-29,HamamSanitizer,Sanitizer,Hamam,12,69.62,835.44
2024-03-08,KnorrNoodles,Noodles,Knorr,46,50.68,2331.28
2024-03-14,KellogsBreakfast,Breakfast,Kellogs,100,68.86,6886.0
